Text,Sentiment
It's much more powerful and pleasant than any liquid_fabric_softener scents ,positive
Lift was a bit of a pain with card access.,negative
"Just to give you an idea: the shutters of the windows were not working, did not go neither up or down - just hanging down only one side and the other up....",negative
The extra beds are not the greatest (a futon and a sleeper couch),negative
Some have small televisions flat screen or the old 1990's tube as well as some of the rooms do not have it amenity I usually book a triple room which thus far comes wtih a window and is a bit more spacious The single rooms are much smaller yet comfortable ,positive
The rooms itself was extremely Clean ,positive
We didn't like the mouse in the room.,negative
Loved the elegantly art art_deco ambiance ,positive
The room was secretary_Santiago_Creel so no Traffic ambient_noise ,positive
Never_Seen the elegant art art_deco ambiance ,positive
Loved the elegant art deco ambience.,positive
"Sep 5-8 room 302
Room was too small, the shower pressure was good.",negative
Room are unblemished and classy ,positive
Cool design.,positive
"The heat in the room fluctuated -- at times it felt a little draft, and on my last night, the fan was really loud.",negative
the bathroom was a little dirty with hair at the walls,negative
The top of the window was then covered by the dirty blind.,negative
Room wasn't cleaned or bed made up,negative
The memory foam mattress - we all agreeing the best night's sleeping in a hotels EVER ,positive
The lifts worked!,positive
good highly_flammable_foam to windows) terrific showerroom with excellent hot showers good air con free wifi and coffee maker ,positive
Rooms are cosy with great temperature control.,positive
I loved it there was a coffee shop underneath and it reopened at 12am every evening so that I can get my late night coffee if I wanted ,positive
Broken tiles in shower.,negative
The toilet ran until you jiggled the handle.,negative
"No bath, only a shower, and I requested 2 queen size beds",negative
"Our room was very spacious, especially for NYC.",positive
The bed was very relaxed and rooms minimalistic,positive
For 3 people in a bedroom the sofa bed is a bit unconfortable.,negative
Toilet paper wasn't replaced everyday!,negative
The drapes could have fit the window.,negative
Decent room,positive
"Access to fitness facilities, especially the pool was a real value added.",positive
The bed was extremely relaxed and room minimalistic,positive
The floor was not very clean.,negative
More plug outlets with surge protectors.,negative
Outside seating was lovely,negative
access to fitness facilities especially the pools was a real value adding ,positive
The Same counts for the restroom particularly the shower was great ,positive
"Mouse in the room,
No Wifi,
No cleaning service in 3 days,
No elevators,
Doors to outside of hotel didn't lock anymore,
On main avenue, with constructions, one of our room was pretty loud.",negative
The walk up 4 stories,negative
It was quiet.,positive
Waited over 40 minutes to use shower.,negative
Room was large for my family of 4 adults.,positive
"Elevators are slow, very long lines.",negative
Air Conditioning worked fines ,positive
"The same counts for the bathroom, especially the shower was great.",positive
"I don't mind the small space,
just would have liked a bit more ""style.""",negative
comfortable bed and selections of pillow ,positive
Bewitching rooms bed was so comfortable!,positive
It was bigger so that was nice!,negative
"Some thinks didnt work well : air, tv , open windows,",negative
"Bedding was changed once,",negative
very spartan.,negative
Room not what we ordered or prepaid for.,negative
"So if you're the type that likes to let water run a bit before getting wet or it takes a minute to figure out how to make it hot, you're gonna get wet.",negative
Room extremely small.,negative
room was not at all inviting.,negative
The front door didn't work so we had to pry it open.,negative
Stiff feel to the place- no amenities.,negative
Hotel was very clean and had character.,positive
The bed is very comfortable.,positive
Never_Seen the elegantly art art_deco ambience ,positive
good soundproofing to windows) terrific showerroom with excellent hot shower good air con free WiFi and coffee maker ,positive
No bathroom in room,negative
The bathroom functioned o.k.,negative
"The bed was very comfortable, and room minimalist",positive
The pool is the best!,positive
So there could have been more convenient outlets.,negative
The hotel has a rooftop with a hot tub which has an awesome view.,positive
now easier to reaching ,positive
Amazing facilities.,positive
"The mattresses were too ""springy"" and uncomfortable.",negative
We just had to place our luggage on the floor.,negative
Our room had left over garbage from whomever stayed there prior.,negative
on HVAC vent.,negative
still easy to reach.,positive
The Same counts for the bathroom particularly the shower was terrific ,positive
The bathroom is dirty.,negative
there was dust and tissue under the bed.,negative
Every 15 minutes door were slamming & lights on.,negative
The hotel was very clean.,positive
Rooms was sizeable for my relatives of 4 adults ,positive
comfortable bed and selections of pillow ,positive
"We had requested two queen beds and got a room with 1 queen and 2 twins, we were advised that there were not any other rooms and could put the (2) beds together, which we did and it was no issue as far as sleeping.",negative
Crumbs from snacks were not cleaned up for 3 days!!,negative
Hot water was abundant and the A/C (window unit) was ice cold - Excellent!,positive
Wifi connected,negative
Has themost thing you needed ,positive
The hotels was extremely Clean ,positive
only if you don't mind stains in your bed sheets or cockroaches in your (shared) bathroom.,negative
Lights in the common room were too dim.,negative
the room had aircon and we had earplugs and slept soundly.,positive
